"Time","Batch","User","Status","CloudFiles","Expected","Uploaded","Failed"
"2026-05-23 16:41:10","Batch1","odl_user_2226954@otuwacne103891.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:13","Batch1","odl_user_2227227@otuwacne103892.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:17","Batch1","odl_user_2226956@otuwacne103893.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:20","Batch1","odl_user_2226957@otuwacne103894.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:24","Batch1","odl_user_2226963@otuwacne103895.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:28","Batch1","odl_user_2226964@otuwacne103896.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:41:31","Batch1","odl_user_2227228@otuwacne103897.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:06","Batch1","odl_user_2226966@otuwacne103898.onmicrosoft.com","Uploaded","118","97","46","0"
"2026-05-23 16:42:08","Batch1","odl_user_2226967@otuwacne103899.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:11","Batch1","odl_user_2227229@otuwacne103900.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:14","Batch1","odl_user_2226969@otuwacne103901.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:17","Batch1","odl_user_2227230@otuwacne103902.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:21","Batch1","odl_user_2226971@otuwacne103903.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:24","Batch1","odl_user_2226972@otuwacne103904.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:27","Batch1","odl_user_2226975@otuwacne103905.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:29","Batch1","odl_user_2227231@otuwacne103906.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:32","Batch1","odl_user_2226977@otuwacne103907.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:34","Batch1","odl_user_2226978@otuwacne103908.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:36","Batch1","odl_user_2226979@otuwacne103909.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:42:39","Batch1","odl_user_2226980@otuwacne103910.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:43:47","Batch1","odl_user_2226981@otuwacne103911.onmicrosoft.com","Uploaded","98","97","97","0"
"2026-05-23 16:44:56","Batch1","odl_user_2226982@otuwacne103912.onmicrosoft.com","Uploaded","98","97","97","0"
"2026-05-23 16:45:00","Batch1","odl_user_2226984@otuwacne103913.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:03","Batch1","odl_user_2226985@otuwacne103914.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:06","Batch1","odl_user_2226986@otuwacne103915.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:10","Batch1","odl_user_2226990@otuwacne103916.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:13","Batch1","odl_user_2226991@otuwacne103917.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:17","Batch1","odl_user_2226992@otuwacne103918.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:20","Batch1","odl_user_2226994@otuwacne103919.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:22","Batch1","odl_user_2226995@otuwacne103920.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:26","Batch1","odl_user_2227004@otuwacne103921.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:28","Batch1","odl_user_2227005@otuwacne103922.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:30","Batch1","odl_user_2227842@otuwacne103923.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:33","Batch1","odl_user_2227007@otuwacne103924.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:36","Batch1","odl_user_2227008@otuwacne103925.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:38","Batch1","odl_user_2227843@otuwacne103926.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:41","Batch1","odl_user_2227010@otuwacne103927.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:45","Batch1","odl_user_2227014@otuwacne103928.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:48","Batch1","odl_user_2227016@otuwacne103929.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:51","Batch1","odl_user_2227232@otuwacne103930.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:53","Batch1","odl_user_2227017@otuwacne103931.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:56","Batch1","odl_user_2227018@otuwacne103932.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:45:59","Batch1","odl_user_2227019@otuwacne103933.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:01","Batch1","odl_user_2227020@otuwacne103934.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:05","Batch1","odl_user_2227021@otuwacne103935.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:08","Batch1","odl_user_2227022@otuwacne103936.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:11","Batch1","odl_user_2227233@otuwacne103937.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:15","Batch1","odl_user_2227024@otuwacne103938.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:17","Batch1","odl_user_2227025@otuwacne103939.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:21","Batch1","odl_user_2227029@otuwacne103940.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:22","Batch1","odl_user_2227030@otuwacne103941.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:24","Batch1","odl_user_2227031@otuwacne103942.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:26","Batch1","odl_user_2227032@otuwacne103943.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:28","Batch1","odl_user_2227033@otuwacne103944.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:30","Batch2","odl_user_2227034@otuwacne103945.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:33","Batch2","odl_user_2227234@otuwacne103946.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:35","Batch2","odl_user_2227235@otuwacne103947.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:37","Batch2","odl_user_2227035@otuwacne103948.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:40","Batch2","odl_user_2227036@otuwacne103949.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:43","Batch2","odl_user_2227236@otuwacne103950.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:46","Batch2","odl_user_2227037@otuwacne103951.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:48","Batch2","odl_user_2227038@otuwacne103952.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:49","Batch2","odl_user_2227039@otuwacne103953.onmicrosoft.com","Auth Failed","0","97","0","0"
"2026-05-23 16:46:50","Batch2","odl_user_2227040@otuwacne103954.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:54","Batch2","odl_user_2227041@otuwacne103955.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:56","Batch2","odl_user_2227237@otuwacne103956.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:46:58","Batch2","odl_user_2227238@otuwacne103957.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:48:04","Batch2","odl_user_2227239@otuwacne103958.onmicrosoft.com","Uploaded","98","97","97","0"
"2026-05-23 16:48:07","Batch2","odl_user_2227042@otuwacne103959.onmicrosoft.com","Skipped - Already Complete","97","97","0","0"
"2026-05-23 16:48:10","Batch2","odl_user_2227240@otuwacne103960.onmicrosoft.com","Skipped - Already Complete","98","97","0","0"
