"Environment","Username","TenantId","LicenseSKU","ActiveUnits","ConsumedUnits","WarningUnits","SuspendedUnits","Status"
"All Environments Details","odl_user_2226954@otuwacne103891.onmicrosoft.com","238850da-67d5-41ec-8b3a-1a4bbc3598f9","Microsoft_Intune_Suite","0","1","0","3","OK"
"All Environments Details","odl_user_2226954@otuwacne103891.onmicrosoft.com","238850da-67d5-41ec-8b3a-1a4bbc3598f9","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226954@otuwacne103891.onmicrosoft.com","238850da-67d5-41ec-8b3a-1a4bbc3598f9","TVM_Premium_Add_on","0","1","0","3","OK"
"All Environments Details","odl_user_2226954@otuwacne103891.onmicrosoft.com","238850da-67d5-41ec-8b3a-1a4bbc3598f9","Microsoft_365_E5_(no_Teams)","1","1","0","2","OK"
"All Environments Details","odl_user_2226956@otuwacne103893.onmicrosoft.com","ec56821f-5f6d-4b2a-9a3c-b7029424139d","Microsoft_Intune_Suite","1","1","0","2","OK"
"All Environments Details","odl_user_2226956@otuwacne103893.onmicrosoft.com","ec56821f-5f6d-4b2a-9a3c-b7029424139d","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226956@otuwacne103893.onmicrosoft.com","ec56821f-5f6d-4b2a-9a3c-b7029424139d","POWER_BI_STANDARD","1000000","1","0","0","OK"
"All Environments Details","odl_user_2226956@otuwacne103893.onmicrosoft.com","ec56821f-5f6d-4b2a-9a3c-b7029424139d","TVM_Premium_Add_on","1","1","0","2","OK"
"All Environments Details","odl_user_2226956@otuwacne103893.onmicrosoft.com","ec56821f-5f6d-4b2a-9a3c-b7029424139d","Microsoft_365_E5_(no_Teams)","2","1","0","2","OK"
"All Environments Details","odl_user_2226957@otuwacne103894.onmicrosoft.com","a921d03c-fbb5-4129-ae00-6d3e6fcf81a7","Microsoft_Intune_Suite","0","1","0","3","OK"
"All Environments Details","odl_user_2226957@otuwacne103894.onmicrosoft.com","a921d03c-fbb5-4129-ae00-6d3e6fcf81a7","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226957@otuwacne103894.onmicrosoft.com","a921d03c-fbb5-4129-ae00-6d3e6fcf81a7","TVM_Premium_Add_on","0","1","0","3","OK"
"All Environments Details","odl_user_2226957@otuwacne103894.onmicrosoft.com","a921d03c-fbb5-4129-ae00-6d3e6fcf81a7","Microsoft_365_E5_(no_Teams)","1","1","0","2","OK"
"All Environments Details","odl_user_2226963@otuwacne103895.onmicrosoft.com","cc624eac-476b-49bf-9559-7225de43850f","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226963@otuwacne103895.onmicrosoft.com","cc624eac-476b-49bf-9559-7225de43850f","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226963@otuwacne103895.onmicrosoft.com","cc624eac-476b-49bf-9559-7225de43850f","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226963@otuwacne103895.onmicrosoft.com","cc624eac-476b-49bf-9559-7225de43850f","Microsoft_365_E5_(no_Teams)","2","1","0","1","OK"
"All Environments Details","odl_user_2226964@otuwacne103896.onmicrosoft.com","29ad9ccc-95e3-4228-8379-605b6b8e5e12","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226964@otuwacne103896.onmicrosoft.com","29ad9ccc-95e3-4228-8379-605b6b8e5e12","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226964@otuwacne103896.onmicrosoft.com","29ad9ccc-95e3-4228-8379-605b6b8e5e12","TVM_Premium_Add_on","0","1","0","2","OK"
"All Environments Details","odl_user_2226964@otuwacne103896.onmicrosoft.com","29ad9ccc-95e3-4228-8379-605b6b8e5e12","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226966@otuwacne103898.onmicrosoft.com","2532cb95-80a3-4fa3-b555-295437d451cd","Microsoft_Intune_Suite","0","1","0","2","OK"
"All Environments Details","odl_user_2226966@otuwacne103898.onmicrosoft.com","2532cb95-80a3-4fa3-b555-295437d451cd","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226966@otuwacne103898.onmicrosoft.com","2532cb95-80a3-4fa3-b555-295437d451cd","TVM_Premium_Add_on","0","1","0","2","OK"
"All Environments Details","odl_user_2226966@otuwacne103898.onmicrosoft.com","2532cb95-80a3-4fa3-b555-295437d451cd","Microsoft_365_E5_(no_Teams)","2","1","0","1","OK"
"All Environments Details","odl_user_2226967@otuwacne103899.onmicrosoft.com","9fd076b2-76ad-4b6f-85d2-6cc8afbd810c","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226967@otuwacne103899.onmicrosoft.com","9fd076b2-76ad-4b6f-85d2-6cc8afbd810c","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226967@otuwacne103899.onmicrosoft.com","9fd076b2-76ad-4b6f-85d2-6cc8afbd810c","TVM_Premium_Add_on","1","1","0","2","OK"
"All Environments Details","odl_user_2226967@otuwacne103899.onmicrosoft.com","9fd076b2-76ad-4b6f-85d2-6cc8afbd810c","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226969@otuwacne103901.onmicrosoft.com","fd702382-640e-4472-9674-e78aa7e7852f","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226969@otuwacne103901.onmicrosoft.com","fd702382-640e-4472-9674-e78aa7e7852f","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226969@otuwacne103901.onmicrosoft.com","fd702382-640e-4472-9674-e78aa7e7852f","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226969@otuwacne103901.onmicrosoft.com","fd702382-640e-4472-9674-e78aa7e7852f","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226971@otuwacne103903.onmicrosoft.com","f01cdb30-e142-4b5b-864a-7e8acfb1e550","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226971@otuwacne103903.onmicrosoft.com","f01cdb30-e142-4b5b-864a-7e8acfb1e550","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226971@otuwacne103903.onmicrosoft.com","f01cdb30-e142-4b5b-864a-7e8acfb1e550","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226971@otuwacne103903.onmicrosoft.com","f01cdb30-e142-4b5b-864a-7e8acfb1e550","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226972@otuwacne103904.onmicrosoft.com","0898782a-cdd6-458e-a97d-1489271b942d","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226972@otuwacne103904.onmicrosoft.com","0898782a-cdd6-458e-a97d-1489271b942d","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226972@otuwacne103904.onmicrosoft.com","0898782a-cdd6-458e-a97d-1489271b942d","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226972@otuwacne103904.onmicrosoft.com","0898782a-cdd6-458e-a97d-1489271b942d","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226975@otuwacne103905.onmicrosoft.com","b38f5fbd-5d6e-4139-a229-e0f40e1816b0","Microsoft_Intune_Suite","1","1","0","1","OK"
"All Environments Details","odl_user_2226975@otuwacne103905.onmicrosoft.com","b38f5fbd-5d6e-4139-a229-e0f40e1816b0","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226975@otuwacne103905.onmicrosoft.com","b38f5fbd-5d6e-4139-a229-e0f40e1816b0","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226975@otuwacne103905.onmicrosoft.com","b38f5fbd-5d6e-4139-a229-e0f40e1816b0","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
"All Environments Details","odl_user_2226977@otuwacne103907.onmicrosoft.com","c8f6549b-750c-4520-b088-9f60487ddc41","Microsoft_Intune_Suite","1","1","0","2","OK"
"All Environments Details","odl_user_2226977@otuwacne103907.onmicrosoft.com","c8f6549b-750c-4520-b088-9f60487ddc41","AAD_PREMIUM_P2","0","3","0","3","OK"
"All Environments Details","odl_user_2226977@otuwacne103907.onmicrosoft.com","c8f6549b-750c-4520-b088-9f60487ddc41","TVM_Premium_Add_on","1","1","0","1","OK"
"All Environments Details","odl_user_2226977@otuwacne103907.onmicrosoft.com","c8f6549b-750c-4520-b088-9f60487ddc41","Microsoft_365_E5_(no_Teams)","1","1","0","1","OK"
