batch,username,tenant_id,action,prompt_state,run_count,rerun_status,remark,screenshot,checked_at
Batch1,odl_user_2226984@otuwacne103913.onmicrosoft.com,60033a35-2afe-4cfd-9a47-9a620404aa31,SKIP,COMPLETED,2,SKIPPED_COMPLETED,"Prompt already completed, skipped",,2026-05-26 14:15:48
Batch2,odl_user_2227039@otuwacne103953.onmicrosoft.com,cbbe8e31-df15-4f69-8758-49dd3fc41410,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:15:48
Batch1,odl_user_2227843@otuwacne103926.onmicrosoft.com,8432a64e-a339-4256-a33e-d61c099f3734,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:15:48
Batch2,odl_user_2227844@otuwacne103982.onmicrosoft.com,7545508a-37a3-4323-a237-a1163e932970,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:15:48
Batch2,odl_user_2227845@otuwacne103991.onmicrosoft.com,13f4c7f8-6a94-417d-b9f1-5279cc5477a6,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:17:24
Batch1,odl_user_2227842@otuwacne103923.onmicrosoft.com,1ef49286-1e9a-407f-8918-9a669b8d92de,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,RERUN_SUCCESS,Fresh prompt -> stopped -> rerun submitted,,2026-05-26 14:15:48
Batch4,odl_user_2227856@otuwacne104099.onmicrosoft.com,2854b0c5-6ea9-4a94-bd35-5d555e97d7c7,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:19:37
Batch4,odl_user_2227855@otuwacne104080.onmicrosoft.com,7fd4cc0d-5d0e-4e1a-8011-81369b1e6ab5,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:18:32
Batch4,odl_user_2227848@otuwacne104092.onmicrosoft.com,12a022b4-b43f-489b-a469-80b71b114a0a,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:18:48
Batch4,odl_user_2227846@otuwacne104127.onmicrosoft.com,238a79b4-9aed-4711-b036-b08ddb5a431c,SKIP,COMPLETED,2,SKIPPED_COMPLETED,"Prompt already completed, skipped",,2026-05-26 14:21:42
Batch3,odl_user_2227091@otuwacne104011.onmicrosoft.com,715f4527-5dcc-462e-a7b9-dfbbb6be43e3,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,START_FAILED,Could not start fresh prompt,,2026-05-26 14:18:29
Batch5,odl_user_2227511@otuwacne104042.onmicrosoft.com,d540b97b-ec12-4f42-bef5-79470a319815,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:22:06
Batch5,odl_user_2227510@otuwacne104041.onmicrosoft.com,79d1038c-f27a-4d93-bf0e-ee4d2fdae62b,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:23:06
Batch4,odl_user_2227168@otuwacne104106.onmicrosoft.com,da6307bd-eed0-4402-89b8-0f5cec6c93f3,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,START_FAILED,Could not start fresh prompt,,2026-05-26 14:21:09
Batch5,odl_user_2227196@otuwacne104134.onmicrosoft.com,89f4f531-14b0-4cdd-83a7-310930a58532,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,START_FAILED,Could not start fresh prompt,,2026-05-26 14:21:46
Batch5,odl_user_2227512@otuwacne104043.onmicrosoft.com,63dac623-08bb-451c-a622-347b19fa3253,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:23:21
Batch5,odl_user_2227513@otuwacne104044.onmicrosoft.com,6c0a9d46-6173-4874-8714-50a1e1b94bf9,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:23:50
Batch5,odl_user_2227414@otuwacne104045.onmicrosoft.com,19b58800-fcad-477c-9237-99743458566a,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:24:24
Batch5,odl_user_2227423@otuwacne104049.onmicrosoft.com,216fec35-ebc6-473a-aed4-bdf4c31facbf,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:25:33
Batch5,odl_user_2227418@otuwacne104046.onmicrosoft.com,902bb837-e7fc-4a20-91f9-0081760ee9dd,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:24:37
Batch5,odl_user_2227827@otuwacne104050.onmicrosoft.com,fa81e0b3-2438-4b7f-a25f-f5e9493c57a8,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:26:12
Batch5,odl_user_2227821@otuwacne104048.onmicrosoft.com,b2e3fd79-e86e-4740-b21f-cb615998630f,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:26:07
Batch5,odl_user_2227421@otuwacne104047.onmicrosoft.com,77734408-ac11-4178-b5ec-73630f2227b4,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:25:31
Batch5,odl_user_2227812@otuwacne104051.onmicrosoft.com,bd1d8d04-fd95-4557-9f08-b06407244d6b,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:27:37
Batch5,odl_user_2227813@otuwacne104053.onmicrosoft.com,98f9d77d-1215-4b90-9bbe-d392c883319e,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:27:39
Batch5,odl_user_2227498@otuwacne104056.onmicrosoft.com,8ac6dc4a-d3d5-4056-a4a5-0a34ca2a815f,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:28:23
Batch5,odl_user_2227496@otuwacne104055.onmicrosoft.com,b71f388f-ad82-4a51-8320-9c46b50b3e0a,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:27:58
